source,beneficiary_name,project_name,total_amount,project_status,amount,amount_kind,approval_date,beneficiary_address,beneficiary_city,beneficiary_country,beneficiary_country_code,beneficiary_county,beneficiary_id,beneficiary_nuts_code,beneficiary_nuts_region,beneficiary_person,beneficiary_postal_code,beneficiary_url,cci_program_code,cci_program_title,completion_date,currency,eu_cofinancing_amount,eu_cofinancing_amount_eligible,eu_cofinancing_rate,european_investment_bank_amount,final_payment_date,first_payment_date,fund_acronym,fund_name,funding_period,internal_id,management_authority,member_state_amount,operational_programme,priority_label,priority_number,project_description,project_id,starting_date,theme_code,theme_name,third_party_amount,total_amount_applied,total_amount_eligible
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,research team Jimenez-Schmon-HÃ¶fer GmbH,Innovationsdienstleistung fÃ¼r Unternehmen,405000,paid out,405000,total_amount,,,,ÃSTERREICH,AT,,Gmbh hofer jimenez research schmon team,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1806,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,research team Jimenez-Schmon-HÃ¶fer GmbH,Innovationsdienstleistung fÃ¼r Unternehmen,420000,paid out,420000,total_amount,,,,ÃSTERREICH,AT,,Gmbh hofer jimenez research schmon team,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1807,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,RESSENIG-Fahrzeugbau Gesellschaft m.b.H.,Unternehmensinvestition mit Innovationsbezug,61458209,paid out,61458209,total_amount,,,,ÃSTERREICH,AT,,Fahrzeugbau gesellschaft mbh ressenig,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1808,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Rettig Austria GmbH,Innovationsdienstleistung fÃ¼r Unternehmen,9900000,paid out,9900000,total_amount,,,,ÃSTERREICH,AT,,Austria gmbh rettig,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1809,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Rettig Austria GmbH,Innovationsdienstleistung fÃ¼r Unternehmen,2000000,paid out,2000000,total_amount,,,,ÃSTERREICH,AT,,Austria gmbh rettig,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1810,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Reval Austria GmbH,Projekt im Bereich Informations- und Kommunikationstechnologien,14271484,paid out,14271484,total_amount,,,,ÃSTERREICH,AT,,Austria gmbh reval,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1811,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Reval Austria GmbH,Projekt im Bereich Informations- und Kommunikationstechnologien,21992300,paid out,21992300,total_amount,,,,ÃSTERREICH,AT,,Austria gmbh reval,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1812,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Reval Austria GmbH,Projekt im Bereich Informations- und Kommunikationstechnologien,41557500,paid out,41557500,total_amount,,,,ÃSTERREICH,AT,,Austria gmbh reval,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1813,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Reval Austria GmbH,ESF cross-financing,1278420,paid out,1278420,total_amount,,,,ÃSTERREICH,AT,,Austria gmbh reval,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1814,,,,,,,,,,,,,
http://www.innovation-steiermark.at/de/projekte/verzeichnis/Beguenstigte_25.08.15_R57.pdf,Reval Austria GmbH,ESF cross-financing,1003380,paid out,1003380,total_amount,,,,ÃSTERREICH,AT,,Austria gmbh reval,AT33,Tirol,,,,2007AT162PO008,,,,,,,,,,ERDF,,2007-2013,at.austria-at33.tirol-1815,,,,,,,,,,,,,
